,A,B,C
0,0.6052585501965912,0.3538920974158911,0.3249182166443294
1,0.6637333746798513,0.6526753331648376,0.5927630214422485
2,0.6552094273575144,0.7923164166549275,0.6897256505254845
3,0.6959399588804547,-0.06314120518436417,0.6410676578454757
4,0.6411647593465766,0.6357271561387343,0.5021970258955857
5,0.6425881572378402,0.5210252546323149,0.5814363093393651
6,0.6633289350632467,0.2991093071192457,0.5112089467693947
7,0.6178655555309784,0.7798118134657079,0.5787363775752292
8,0.6393437541733402,0.354707619008787,0.4925395078663626
9,0.6545655758999656,0.7551653170203904,0.723494292311475
10,0.6767313908779119,0.48885704850480816,0.7016225587515965
11,0.6481880387909601,0.3346497433821739,0.6819040593233214
12,0.631075661476784,0.8072778457055879,0.521031687220669
13,0.6480288465535444,0.703452458112659,0.6532227498081276
14,0.6714566356428335,0.7790771450572453,0.7282151964025979
15,0.5846475158090542,0.8347257041177223,0.34549923556986395
16,0.6267743912563626,0.5835618722662461,0.6204562107677286
17,0.621217068092327,0.5022338160360662,0.6588115428198996
18,0.6311218552946576,0.836558493203216,0.5840445083167197
